Timestamp,Symbol,Status,Score,Signal,Reasons
2025-12-14 11:50:32,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:32,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:32,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:32,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:33,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:33,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:33,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:33,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:33,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:34,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:40,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:40,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:40,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:41,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:41,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:41,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:41,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:42,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:42,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:42,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:48,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:48,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:48,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:49,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:49,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:49,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:49,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:49,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:50,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:50,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:56,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:56,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:56,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:56,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:57,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:57,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:57,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:57,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:58,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:50:58,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:04,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:04,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:04,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:05,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:05,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:05,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:05,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:05,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:06,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:06,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:12,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:12,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:12,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:13,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:13,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:13,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:13,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:13,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:14,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:14,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:20,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:20,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:20,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:21,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:21,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:21,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:21,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:21,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:22,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:22,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:28,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:28,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:28,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:29,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:29,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:29,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:29,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:29,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:30,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:30,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:36,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:36,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:36,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:37,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:37,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:37,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:37,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:38,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:38,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:38,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:45,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:45,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:45,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:46,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:46,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:46,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:46,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:46,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
