asset,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,reason,entry_score,exit_score,holding_days,sig_bear_low_vol,sig_magic_40,sig_magic_19,sig_ma_cross,sig_momentum,sig_rsi,sig_macd,sig_hurst
SOL-USD,2021-03-31,2021-04-03,19.465229034423828,22.552276611328125,171.2455233605732,528.6430779459656,15.85929233837897,TAKE_PROFIT,68.26898734177216,64.06329113924052,3,0.0,1.0,1.0,0.5,0.0,78.86989824842837,0.4591573638600992,0.2809615846257955
ETH-USD,2021-04-07,2021-04-09,1971.0772705078125,2072.10888671875,1.6911226075244428,170.85685024904933,5.125705507471482,SIGNAL_WEAK,63.10975609756098,36.28048780487805,2,0.0,1.0,1.0,0.5,1.0,69.83214654120029,22.500317400869818,0.36166906368708707
SOL-USD,2021-04-04,2021-04-09,24.061323165893555,27.778274536132812,138.53491390940076,514.9275380815247,15.447826142445741,TAKE_PROFIT,64.06329113924052,59.74367088607596,5,0.0,1.0,1.0,0.5,1.0,84.0698608347112,0.7116055910262866,0.3027025085019282
ETH-USD,2021-04-14,2021-04-16,2435.10498046875,2431.946533203125,1.368866377453541,-4.323492266873927,-0.12970476800622407,SIGNAL_WEAK,65.7439024390244,32.01219512195122,2,0.0,1.0,1.0,0.5,1.0,73.26644776979113,30.038100906689863,0.3990648941557201
SOL-USD,2021-04-10,2021-04-16,26.84140396118164,25.39736557006836,124.18625114222937,-179.32971429781492,-5.379891428934443,STOP_LOSS,62.58860759493672,50.83860759493671,6,0.0,1.0,1.0,0.5,1.0,84.1667264753973,0.6998251603115917,0.4412875925042225
SOL-USD,2021-04-21,2021-04-22,32.51304244995117,38.8797607421875,102.52295946971088,652.7348014300119,19.58204404290036,TAKE_PROFIT,61.946202531645575,43.79113924050633,1,0.0,1.0,1.0,0.5,0.0,66.15903178327275,0.23325428095047185,0.41398567987227863
SOL-USD,2021-04-28,2021-04-29,44.825984954833984,42.460540771484375,74.36163057414025,-175.89828650599247,-5.276948595179775,STOP_LOSS,75.07911392405063,41.69303797468354,1,0.0,1.0,1.0,0.5,1.0,74.73048642994812,1.0591470748902907,0.386165983008713
ETH-USD,2021-05-05,2021-05-06,3522.783203125,3490.88037109375,0.9462215359651969,-30.18714672624901,-0.9056144017874715,SIGNAL_WEAK,65.7439024390244,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,80.52650581241565,86.92035248933476,0.38887650400107693
SOL-USD,2021-05-05,2021-05-10,44.92357635498047,42.90963363647461,74.20008832319473,-149.43472759098995,-4.48304182772969,SIGNAL_WEAK,65.36392405063292,34.11392405063291,5,0.0,1.0,1.0,0.5,0.0,64.51243292451565,-0.271554791006853,0.44690446438179277
ETH-USD,2021-05-12,2021-05-13,3785.8486328125,3715.1484375,0.8804718985441862,-62.249535194241616,-1.8674860558272492,SIGNAL_WEAK,62.48780487804878,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,73.24189632638704,65.69208704483839,0.5589526380213603
SOL-USD,2021-06-09,2021-06-11,42.031776428222656,36.046085357666016,79.30507859989314,-474.69570082517293,-14.240871024755187,SIGNAL_WEAK,64.24050632911393,21.598101265822788,2,0.0,1.0,1.0,0.5,0.0,58.390907912065046,1.2359096911950567,0.4458362209193491
SOL-USD,2021-06-16,2021-06-17,39.703617095947266,39.264591217041016,83.95540701689828,-36.858596354525616,-1.1057578906357715,SIGNAL_WEAK,61.946202531645575,34.96835443037975,1,0.0,1.0,1.0,0.5,0.0,58.72461550470877,0.3566759525224422,0.4365369173238282
SOL-USD,2021-07-07,2021-07-08,36.59136962890625,33.20372772216797,91.09616194033046,-308.60117573208026,-9.25803527196241,SIGNAL_WEAK,61.946202531645575,18.512658227848103,1,0.0,1.0,1.0,0.5,0.0,67.40019684218547,0.5270163017278828,0.43139662891328023
BTC-USD,2021-07-28,2021-08-01,39995.90625,39974.89453125,0.08334186285210961,-1.7511557823495423,-0.05253467347048799,SIGNAL_WEAK,65.7439024390244,25.524390243902438,4,1.0,1.0,1.0,-0.5,1.0,75.70412205192805,1037.18205273005,0.4752856106904499
ETH-USD,2021-08-02,2021-08-07,2610.1533203125,3157.23876953125,1.2770641890623693,698.6632355543647,20.959897066630948,TAKE_PROFIT,72.47560975609757,75.92682926829269,5,1.0,1.0,1.0,0.5,1.0,96.31147155249494,66.31987039422768,0.444757497721613
SOL-USD,2021-08-04,2021-08-11,35.76362609863281,41.74411392211914,93.20456835501817,557.4087861404855,16.72226358421456,TAKE_PROFIT,68.26898734177216,81.08544303797468,7,0.0,1.0,1.0,0.5,0.0,74.8377837818507,0.983989713425996,0.290446430716518
BTC-USD,2021-08-09,2021-08-12,46365.40234375,44428.2890625,0.07189268646091374,-139.2642777681781,-4.177928333045341,SIGNAL_WEAK,72.47560975609757,29.369918699186993,3,1.0,1.0,1.0,0.5,1.0,74.12788646122996,646.5615693463035,0.5686379705436709
